,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,optimizer,mapping,ansatz,rotation blocks,entanglement_blocks,entanglement,repetitions,skip_final_rotation_layer,energy (Ha),error (mHa),pass,# of parameters,final parameters,# of evaluations,optimizer time,# of qubits,# of CNOTs,score
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3.0,True,-1.8533628495566552,0.0007691153811606,True,24,"[ 2.25391031e-01 -3.97793089e-04 -1.87816537e-02  9.18269204e-01
  2.28663219e-01 -1.89898562e-01  3.92475361e-01 -4.39816238e-04
  3.14164574e+00  3.84029863e-03  2.18628535e-01 -1.76295427e-04
 -3.19808985e-01  1.18225593e+00  1.05365850e+00  5.69699467e-01
  3.81620256e-03 -2.36055854e-01  2.25795149e-01  2.10043831e-01
  2.87211763e-01  3.63888962e-01 -6.15546851e-05 -2.31206727e-04]",500,3.769929885864258,4,18,18
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-1.08658774299505,2.1182727396875656,True,16,"[-1.16576187e-01  3.28708266e+00  1.25264546e+00 -5.96823457e-04
 -1.13036136e-02 -3.24658511e-02 -6.21400906e-02  1.30562486e-02
  1.57362334e-01 -1.25912391e+00  2.18209175e-02  1.13364481e-02
 -2.88381465e-02  6.39277579e-04  2.27381519e-01 -8.98276709e-04]",903,9.197820901870728,4,6,6
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-1.0865860411686648,2.1199745660780422,True,16,"[-1.16407491e-01  3.27671134e+00  1.24040867e+00 -1.29624364e-03
 -1.64987642e-02 -2.97753338e-02 -6.13518980e-02  1.33208802e-02
  1.47388698e-01 -1.24692769e+00  2.63589856e-02  1.01364031e-02
 -3.35407674e-02  8.15034687e-04  2.27513193e-01 -1.12801692e-03]",867,9.64064621925354,4,6,6
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,,,COBYLA,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-0.9154133547281024,173.29266100663654,False,16,"[ 1.13791366e-03 -8.32037233e-05  1.49528420e+00 -3.94829036e-01
  1.05890611e+00  1.92795951e-01  1.41957859e+00  1.91145229e-05
  2.94964258e-04  1.66025002e+00 -5.13224946e-01  1.26086149e+00
  1.03016362e+00  9.33846573e-02  2.76208512e-03  8.22450408e-05]",304,3.524017333984375,4,6,6
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,,SPSA,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-0.9596967474764756,129.00926825826687,False,16,"[-2.96331233e+00  2.72981893e+00 -3.39846412e+00  3.75294208e+00
 -3.43123721e+00 -6.61088186e-02  3.37224553e+00 -1.54287950e-02
 -3.40347180e+00  3.45236707e+00 -1.74257660e+00  3.99950169e-01
  2.84485128e-01  4.51396813e-02  2.16350218e-03  5.20124972e-02]",1000,11.44111704826355,4,6,6
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,,,,,,SPSA,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-0.9613651371750394,127.340878559703,False,16,"[-0.29492189  3.47063407 -2.50765668  2.95629012 -1.33110851  3.33374439
 -0.41252829 -3.17256469 -3.44372885 -2.47610189 -5.26522752 -1.33728238
 -0.61080521  3.10675701 -3.13748412 -0.01606856]",1000,10.737062215805054,4,6,6
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-1.086587418746367,2.1185969883723565,True,16,"[-1.16239150e-01  3.28056578e+00  1.25151850e+00 -1.22653663e-03
 -1.15211645e-02 -3.17556606e-02 -6.23876705e-02  1.30209726e-02
  1.51050330e-01 -1.25827206e+00  2.24139185e-02  1.10327524e-02
 -2.89928400e-02  5.50334329e-04  2.27439851e-01 -9.35502423e-04]",919,10.536003589630129,4,6,6
7,7.0,7.0,7.0,7.0,7.0,7.0,0.0,,,,,,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-1.0865875826339606,2.118433100776196,True,16,"[-1.16425736e-01  3.28300496e+00  1.24879151e+00 -4.78804358e-04
 -1.19414067e-02 -3.18715608e-02 -6.23101334e-02  1.34244701e-02
  1.53640478e-01 -1.25527583e+00  2.25483807e-02  1.11622215e-02
 -2.87547484e-02  5.96997684e-04  2.27422752e-01 -7.09844371e-04]",937,11.459102153778076,4,6,6
8,8.0,8.0,8.0,8.0,8.0,0.0,,,,,,,,,L_BFGS_B,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-1.085212950128733,3.493065606008594,True,16,"[-7.20201892e-02  3.14356230e+00  3.90002057e-01 -1.59248912e-02
  3.37824657e-03 -3.23213030e-02 -8.99889634e-02  8.10641991e-03
  1.94785158e-02 -4.00848177e-01  1.02236761e-02  1.00418030e-02
 -2.60501699e-02 -2.66408602e-03  2.22796777e-01 -1.61618240e-03]",510,5.366446256637573,4,6,6
9,9.0,9.0,9.0,9.0,0.0,,,,,,,,,,SPSA,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2.0,True,-1.0858842487292355,2.8217670055010746,True,16,"[ 1.31155950e-01  3.89330071e+00  1.63428426e+00 -1.24812066e-01
 -3.94373696e+00 -6.17892676e-01  2.13079456e+00 -1.21574994e-02
 -7.56682715e-01  1.64762731e+00  2.29244168e-01 -2.93207762e-01
  3.12153360e+00 -3.14433175e+00  2.20864597e-01 -6.44677720e-04]",1000,12.137836456298828,4,6,6
